Timestamp,Train ID,Line Code,Current Status,Current Station,Next Station,Time to Next Station,Time to Departure,Current Station Lat,Current Station Lng,Next Station Lat,Next Station Lng
5,1,SIL,BOARDING,SOH,LET,0,25,22.24,114.15,22.24,114.16
5,0,SIL,BOARDING,ADM,OCP,0,25,22.27958,114.16462,22.24898455130648,114.17441070973162
5,3,KTL,BOARDING,WHA,HOM,0,25,22.305307909254548,114.18954999623747,22.31,114.18
5,2,KTL,BOARDING,TIK,YAT,0,25,22.3,114.25,22.3,114.24
5,5,DRL,BOARDING,DIS,SUN,0,25,22.32,114.05,22.33,114.03
5,4,DRL,BOARDING,SUN,DIS,0,25,22.33,114.03,22.32,114.05
5,7,AEL,BOARDING,HOK,KOW,0,25,22.29,114.16,22.3,114.16
5,6,AEL,BOARDING,AWE,AIR,0,25,22.321012728523545,113.94180670973324,22.31617516349916,113.93660451157724
5,9,EAL,BOARDING,ADM,EXC,0,25,22.27958,114.16462,22.282320178041793,114.17541516555798
5,8,EAL,BOARDING,LOW,SHS,0,25,22.53,114.11,22.5,114.13
5,10,TCL,BOARDING,HOK,KOW,0,25,22.29,114.16,22.3,114.16
5,11,TCL,BOARDING,TUC,SUN,0,25,22.29,113.94,22.33,114.03
5,12,TKL,BOARDING,NOP,QUB,0,25,22.29150892853684,114.20047323856755,22.28810647977041,114.2096087213838
5,13,TKL,BOARDING,POA,HAH,0,25,22.32273,114.2578,22.31579,114.26426
5,14,TML,BOARDING,WKS,MOS,0,25,22.43,114.24,22.425041194985532,114.23192333857024
5,15,TML,BOARDING,TUM,SIH,0,25,22.395063453195256,113.9731319962392,22.41,113.98
5,17,ISL,BOARDING,KET,HKU,0,25,22.28,114.13,22.28,114.14
5,16,ISL,BOARDING,CHW,HFC,0,25,22.26,114.24,22.28,114.24
5,18,TWL,BOARDING,CEN,ADM,0,25,22.282201172111822,114.15830604041152,22.27958,114.16462
5,19,TWL,BOARDING,TSW,TWH,0,25,22.37398,114.11766,22.37,114.12457
10,1,SIL,BOARDING,SOH,LET,0,20,22.24,114.15,22.24,114.16
10,0,SIL,BOARDING,ADM,OCP,0,20,22.27958,114.16462,22.24898455130648,114.17441070973162
10,3,KTL,BOARDING,WHA,HOM,0,20,22.305307909254548,114.18954999623747,22.31,114.18
10,2,KTL,BOARDING,TIK,YAT,0,20,22.3,114.25,22.3,114.24
10,5,DRL,BOARDING,DIS,SUN,0,20,22.32,114.05,22.33,114.03
10,4,DRL,BOARDING,SUN,DIS,0,20,22.33,114.03,22.32,114.05
10,7,AEL,BOARDING,HOK,KOW,0,20,22.29,114.16,22.3,114.16
10,6,AEL,BOARDING,AWE,AIR,0,20,22.321012728523545,113.94180670973324,22.31617516349916,113.93660451157724
10,9,EAL,BOARDING,ADM,EXC,0,20,22.27958,114.16462,22.282320178041793,114.17541516555798
10,8,EAL,BOARDING,LOW,SHS,0,20,22.53,114.11,22.5,114.13
10,10,TCL,BOARDING,HOK,KOW,0,20,22.29,114.16,22.3,114.16
10,11,TCL,BOARDING,TUC,SUN,0,20,22.29,113.94,22.33,114.03
10,12,TKL,BOARDING,NOP,QUB,0,20,22.29150892853684,114.20047323856755,22.28810647977041,114.2096087213838
10,13,TKL,BOARDING,POA,HAH,0,20,22.32273,114.2578,22.31579,114.26426
10,14,TML,BOARDING,WKS,MOS,0,20,22.43,114.24,22.425041194985532,114.23192333857024
10,15,TML,BOARDING,TUM,SIH,0,20,22.395063453195256,113.9731319962392,22.41,113.98
10,17,ISL,BOARDING,KET,HKU,0,20,22.28,114.13,22.28,114.14
10,16,ISL,BOARDING,CHW,HFC,0,20,22.26,114.24,22.28,114.24
10,18,TWL,BOARDING,CEN,ADM,0,20,22.282201172111822,114.15830604041152,22.27958,114.16462
10,19,TWL,BOARDING,TSW,TWH,0,20,22.37398,114.11766,22.37,114.12457
15,1,SIL,BOARDING,SOH,LET,0,15,22.24,114.15,22.24,114.16
15,0,SIL,BOARDING,ADM,OCP,0,15,22.27958,114.16462,22.24898455130648,114.17441070973162
15,3,KTL,BOARDING,WHA,HOM,0,15,22.305307909254548,114.18954999623747,22.31,114.18
15,2,KTL,BOARDING,TIK,YAT,0,15,22.3,114.25,22.3,114.24
15,5,DRL,BOARDING,DIS,SUN,0,15,22.32,114.05,22.33,114.03
15,4,DRL,BOARDING,SUN,DIS,0,15,22.33,114.03,22.32,114.05
15,7,AEL,BOARDING,HOK,KOW,0,15,22.29,114.16,22.3,114.16
15,6,AEL,BOARDING,AWE,AIR,0,15,22.321012728523545,113.94180670973324,22.31617516349916,113.93660451157724
15,9,EAL,BOARDING,ADM,EXC,0,15,22.27958,114.16462,22.282320178041793,114.17541516555798
15,8,EAL,BOARDING,LOW,SHS,0,15,22.53,114.11,22.5,114.13
15,10,TCL,BOARDING,HOK,KOW,0,15,22.29,114.16,22.3,114.16
15,11,TCL,BOARDING,TUC,SUN,0,15,22.29,113.94,22.33,114.03
15,12,TKL,BOARDING,NOP,QUB,0,15,22.29150892853684,114.20047323856755,22.28810647977041,114.2096087213838
15,13,TKL,BOARDING,POA,HAH,0,15,22.32273,114.2578,22.31579,114.26426
15,14,TML,BOARDING,WKS,MOS,0,15,22.43,114.24,22.425041194985532,114.23192333857024
15,15,TML,BOARDING,TUM,SIH,0,15,22.395063453195256,113.9731319962392,22.41,113.98
15,17,ISL,BOARDING,KET,HKU,0,15,22.28,114.13,22.28,114.14
15,16,ISL,BOARDING,CHW,HFC,0,15,22.26,114.24,22.28,114.24
15,18,TWL,BOARDING,CEN,ADM,0,15,22.282201172111822,114.15830604041152,22.27958,114.16462
15,19,TWL,BOARDING,TSW,TWH,0,15,22.37398,114.11766,22.37,114.12457
20,1,SIL,BOARDING,SOH,LET,0,10,22.24,114.15,22.24,114.16
20,0,SIL,BOARDING,ADM,OCP,0,10,22.27958,114.16462,22.24898455130648,114.17441070973162
20,3,KTL,BOARDING,WHA,HOM,0,10,22.305307909254548,114.18954999623747,22.31,114.18
20,2,KTL,BOARDING,TIK,YAT,0,10,22.3,114.25,22.3,114.24
20,5,DRL,BOARDING,DIS,SUN,0,10,22.32,114.05,22.33,114.03
20,4,DRL,BOARDING,SUN,DIS,0,10,22.33,114.03,22.32,114.05
20,7,AEL,BOARDING,HOK,KOW,0,10,22.29,114.16,22.3,114.16
20,6,AEL,BOARDING,AWE,AIR,0,10,22.321012728523545,113.94180670973324,22.31617516349916,113.93660451157724
20,9,EAL,BOARDING,ADM,EXC,0,10,22.27958,114.16462,22.282320178041793,114.17541516555798
20,8,EAL,BOARDING,LOW,SHS,0,10,22.53,114.11,22.5,114.13
20,10,TCL,BOARDING,HOK,KOW,0,10,22.29,114.16,22.3,114.16
20,11,TCL,BOARDING,TUC,SUN,0,10,22.29,113.94,22.33,114.03
20,12,TKL,BOARDING,NOP,QUB,0,10,22.29150892853684,114.20047323856755,22.28810647977041,114.2096087213838
20,13,TKL,BOARDING,POA,HAH,0,10,22.32273,114.2578,22.31579,114.26426
20,14,TML,BOARDING,WKS,MOS,0,10,22.43,114.24,22.425041194985532,114.23192333857024
20,15,TML,BOARDING,TUM,SIH,0,10,22.395063453195256,113.9731319962392,22.41,113.98
20,17,ISL,BOARDING,KET,HKU,0,10,22.28,114.13,22.28,114.14
20,16,ISL,BOARDING,CHW,HFC,0,10,22.26,114.24,22.28,114.24
20,18,TWL,BOARDING,CEN,ADM,0,10,22.282201172111822,114.15830604041152,22.27958,114.16462
20,19,TWL,BOARDING,TSW,TWH,0,10,22.37398,114.11766,22.37,114.12457
25,1,SIL,BOARDING,SOH,LET,0,5,22.24,114.15,22.24,114.16
25,0,SIL,BOARDING,ADM,OCP,0,5,22.27958,114.16462,22.24898455130648,114.17441070973162
25,3,KTL,BOARDING,WHA,HOM,0,5,22.305307909254548,114.18954999623747,22.31,114.18
